,Norte,Nordeste,Sul,Sudeste
Norte,0.000000,0.721121,0.696403,0.726869
Nordeste,0.721121,0.000000,0.698852,0.723391
Sul,0.696403,0.698852,0.000000,0.696018
Sudeste,0.726869,0.723391,0.696018,0.000000
