,Norte,Nordeste,Sul,Sudeste
Norte,0.000000,0.900000,0.309001,0.690349
Nordeste,0.900000,0.000000,0.287364,0.564222
Sul,0.309001,0.287364,0.000000,0.100000
Sudeste,0.690349,0.564222,0.100000,0.000000
