Text,LZMA Entropy
train_batch_1.txt,6.722133333333333
train_batch_2.txt,6.788266666666668
train_batch_3.txt,6.754133333333333
train_batch_4.txt,6.692799999999999
train_batch_5.txt,6.650933333333334
train_batch_6.txt,6.770400000000001
train_batch_7.txt,6.7194666666666665
train_batch_8.txt,6.5170666666666675
train_batch_9.txt,6.534399999999999
train_batch_10.txt,6.772266666666667
train_batch_11.txt,6.591466666666666
train_batch_12.txt,6.726933333333332
train_batch_13.txt,6.758666666666667
train_batch_14.txt,6.352
train_batch_15.txt,6.625866666666667
train_batch_16.txt,6.587466666666667
train_batch_17.txt,6.680533333333333
train_batch_18.txt,6.790933333333332
train_batch_19.txt,6.733066666666667
train_batch_20.txt,6.7184
train_batch_21.txt,6.683466666666667
train_batch_22.txt,6.7136
train_batch_23.txt,6.627199999999999
train_batch_24.txt,6.547466666666666
train_batch_25.txt,6.637866666666667
train_batch_26.txt,6.683466666666667
train_batch_27.txt,6.711733333333334
train_batch_28.txt,6.810399999999999
train_batch_29.txt,6.791466666666667
train_batch_30.txt,6.518666666666668
train_batch_31.txt,6.537333333333333
train_batch_32.txt,6.626666666666666
train_batch_33.txt,6.4728
train_batch_34.txt,6.6306666666666665
train_batch_35.txt,6.6983999999999995
train_batch_36.txt,6.644800000000001
train_batch_37.txt,6.7712
train_batch_38.txt,6.745866666666665
train_batch_39.txt,6.7317333333333345
train_batch_40.txt,6.5162666666666675
train_batch_41.txt,6.737333333333333
train_batch_42.txt,6.670666666666666
train_batch_43.txt,6.745866666666668
train_batch_44.txt,6.766933333333333
