Text,LZMA Avg Length
train_batch_1.txt,2.1540566959921796
train_batch_2.txt,2.148444394019615
train_batch_3.txt,2.1205519244734927
train_batch_4.txt,2.147262094630516
train_batch_5.txt,2.185534000050129
train_batch_6.txt,2.13092421160419
train_batch_7.txt,2.180129672006102
train_batch_8.txt,2.1421768707482993
train_batch_9.txt,2.158577823188829
train_batch_10.txt,2.1387599433366025
train_batch_11.txt,2.1718598330421277
train_batch_12.txt,2.127843258891646
train_batch_13.txt,2.1648977987421385
train_batch_14.txt,2.252986787957548
train_batch_15.txt,2.150803691229223
train_batch_16.txt,2.161373640365237
train_batch_17.txt,2.1652494331065757
train_batch_18.txt,2.155798827329967
train_batch_19.txt,2.1242941469312284
train_batch_20.txt,2.171222630218958
train_batch_21.txt,2.155084222594585
train_batch_22.txt,2.132297808012094
train_batch_23.txt,2.1581699346405228
train_batch_24.txt,2.19974449057809
train_batch_25.txt,2.1952463690635304
train_batch_26.txt,2.1943056467287074
train_batch_27.txt,2.1692087361260293
train_batch_28.txt,2.164642681496614
train_batch_29.txt,2.148784111345688
train_batch_30.txt,2.2097281576448244
train_batch_31.txt,2.182548537241722
train_batch_32.txt,2.2015762015762017
train_batch_33.txt,2.177846790890269
train_batch_34.txt,2.1841173887209693
train_batch_35.txt,2.196559961777353
train_batch_36.txt,2.176560758082497
train_batch_37.txt,2.113686573335696
train_batch_38.txt,2.2073429951690824
train_batch_39.txt,2.206218966218966
train_batch_40.txt,2.2013544509796383
train_batch_41.txt,2.1728270609319
train_batch_42.txt,2.215439276485788
train_batch_43.txt,2.1421999884997986
train_batch_44.txt,2.1897675222539106
