Text,PPM Entropy
train_batch_1.txt,2.8482850740000054
train_batch_2.txt,2.9127368219999985
train_batch_3.txt,2.8884415359999895
train_batch_4.txt,2.9021361529999727
train_batch_5.txt,2.778824226999962
train_batch_6.txt,2.7425525340000245
train_batch_7.txt,2.939896054
train_batch_8.txt,2.814000079000027
train_batch_9.txt,2.8486942060000415
train_batch_10.txt,2.958518624000023
train_batch_11.txt,2.871638483198824
train_batch_12.txt,2.80805014
train_batch_13.txt,2.8403955040000057
train_batch_14.txt,2.8901102569999964
train_batch_15.txt,2.840211044999993
train_batch_16.txt,2.883866666999947
train_batch_17.txt,2.847710144000055
train_batch_18.txt,2.9004273239999603
train_batch_19.txt,2.9009815079999735
train_batch_20.txt,2.806391802999973
train_batch_21.txt,2.85301886
train_batch_22.txt,2.871960404999964
train_batch_23.txt,2.915014830999961
train_batch_24.txt,2.838257340000004
train_batch_25.txt,2.80022748899998
train_batch_26.txt,2.8026647100000246
train_batch_27.txt,2.8547044810000157
train_batch_28.txt,2.8886800599999516
train_batch_29.txt,2.9211031619999672
train_batch_30.txt,2.823188278000032
train_batch_31.txt,2.8295902059999904
train_batch_32.txt,2.906938068999966
train_batch_33.txt,2.8040057800000207
train_batch_34.txt,2.8722393120000436
train_batch_35.txt,2.841091099000045
train_batch_36.txt,2.9409085089999474
train_batch_37.txt,2.8985107259999916
train_batch_38.txt,2.8851815019999547
train_batch_39.txt,2.868508247999949
train_batch_40.txt,2.850046627000009
train_batch_41.txt,2.979869962000023
train_batch_42.txt,2.7809628020000177
train_batch_43.txt,2.8441085769999788
train_batch_44.txt,2.8739446789999854
