Text,LZ77 Avg Length
train_batch_1.txt,2.0284313725490195
train_batch_2.txt,2.0535991140642302
train_batch_3.txt,2.024103299856528
train_batch_4.txt,2.0286630036630036
train_batch_5.txt,2.0624098124098125
train_batch_6.txt,2.0426774483378254
train_batch_7.txt,2.063574355550319
train_batch_8.txt,2.011673506611947
train_batch_9.txt,2.0370684776457275
train_batch_10.txt,2.063131313131313
train_batch_11.txt,2.0269976936643603
train_batch_12.txt,2.0788982259570497
train_batch_13.txt,2.0949448772371753
train_batch_14.txt,2.0462922010909628
train_batch_15.txt,2.076350436815553
train_batch_16.txt,2.081556743909685
train_batch_17.txt,2.042680947744239
train_batch_18.txt,2.047166563382221
train_batch_19.txt,2.0551392301392304
train_batch_20.txt,2.0274509803921568
train_batch_21.txt,2.0503165084124606
train_batch_22.txt,2.048272992093217
train_batch_23.txt,2.023690078037904
train_batch_24.txt,2.042573501336388
train_batch_25.txt,2.055159831431802
train_batch_26.txt,2.0591971544715446
train_batch_27.txt,2.0249340685686885
train_batch_28.txt,2.0862752704857965
train_batch_29.txt,2.034722222222222
train_batch_30.txt,2.074074074074074
train_batch_31.txt,2.0274985215848607
train_batch_32.txt,2.0687307861220905
train_batch_33.txt,2.0363247863247866
train_batch_34.txt,2.057770007770008
train_batch_35.txt,2.09011544011544
train_batch_36.txt,2.054719153461474
train_batch_37.txt,2.0772371750632623
train_batch_38.txt,2.029599640125956
train_batch_39.txt,2.037163561076605
train_batch_40.txt,2.007936507936508
train_batch_41.txt,2.0182494378135267
train_batch_42.txt,2.0426791277258567
train_batch_43.txt,2.0352071439027957
train_batch_44.txt,2.0155645524066577
