Text,LZ77 Avg Length
train_batch_1.txt,2.0107323232323235
train_batch_2.txt,2.0579922027290447
train_batch_3.txt,2.037948028673835
train_batch_4.txt,2.039623805118717
train_batch_5.txt,2.0343653250773994
train_batch_6.txt,2.022466998863537
train_batch_7.txt,2.024390243902439
train_batch_8.txt,2.0941195581546457
train_batch_9.txt,2.0728021978021975
train_batch_10.txt,2.052914768601043
train_batch_11.txt,2.05852084423513
train_batch_12.txt,2.0507534659433393
train_batch_13.txt,2.026984126984127
train_batch_14.txt,2.0201254045307446
train_batch_15.txt,2.072385620915033
train_batch_16.txt,2.0282673978326153
train_batch_17.txt,2.0404186795491146
train_batch_18.txt,2.0346087864548372
train_batch_19.txt,2.0641414141414143
train_batch_20.txt,2.032327141382869
train_batch_21.txt,2.0562582345191043
train_batch_22.txt,2.0320366132723113
train_batch_23.txt,2.0545158488927484
train_batch_24.txt,2.050579322638146
train_batch_25.txt,2.049665958092924
train_batch_26.txt,2.0303296703296705
train_batch_27.txt,2.067661358668986
train_batch_28.txt,2.0123456790123457
train_batch_29.txt,2.075507005309961
train_batch_30.txt,2.0082304526748973
train_batch_31.txt,2.0313164649798314
train_batch_32.txt,2.0440917107583774
train_batch_33.txt,2.0417547568710357
train_batch_34.txt,2.040911418330773
train_batch_35.txt,2.059250509038345
train_batch_36.txt,2.109576554217606
train_batch_37.txt,2.0388513513513513
train_batch_38.txt,2.047385620915033
train_batch_39.txt,2.058216619981326
train_batch_40.txt,2.026527979358168
train_batch_41.txt,2.028314606741573
train_batch_42.txt,2.05316091954023
train_batch_43.txt,2.0270152505446624
train_batch_44.txt,2.051744051744052
