Text,LZMA Entropy
train_batch_1.txt,6.691200000000001
train_batch_2.txt,6.660800000000001
train_batch_3.txt,6.722133333333333
train_batch_4.txt,6.7056
train_batch_5.txt,6.664533333333334
train_batch_6.txt,6.800000000000001
train_batch_7.txt,6.523199999999999
train_batch_8.txt,6.745333333333334
train_batch_9.txt,6.676266666666666
train_batch_10.txt,6.701333333333334
train_batch_11.txt,6.757333333333334
train_batch_12.txt,6.7032
train_batch_13.txt,6.7664
train_batch_14.txt,6.6648
train_batch_15.txt,6.644799999999999
train_batch_16.txt,6.693066666666667
train_batch_17.txt,6.682133333333334
train_batch_18.txt,6.702933333333333
train_batch_19.txt,6.730133333333334
train_batch_20.txt,6.633066666666667
train_batch_21.txt,6.792000000000001
train_batch_22.txt,6.664533333333334
train_batch_23.txt,6.647199999999999
train_batch_24.txt,6.6808000000000005
train_batch_25.txt,6.7
train_batch_26.txt,6.677599999999999
train_batch_27.txt,6.730933333333333
train_batch_28.txt,6.438933333333334
train_batch_29.txt,6.689866666666666
train_batch_30.txt,6.6808000000000005
train_batch_31.txt,6.772533333333334
train_batch_32.txt,6.6448
train_batch_33.txt,6.534400000000001
train_batch_34.txt,6.639466666666666
train_batch_35.txt,6.684266666666666
train_batch_36.txt,6.758666666666667
train_batch_37.txt,6.685866666666666
train_batch_38.txt,6.753866666666666
train_batch_39.txt,6.705866666666666
train_batch_40.txt,6.7144
train_batch_41.txt,6.681866666666668
train_batch_42.txt,6.640266666666665
train_batch_43.txt,6.658133333333332
train_batch_44.txt,6.616533333333334
