Text,PPM Entropy
train_batch_1.txt,2.8618996020000345
train_batch_2.txt,2.9204867379999575
train_batch_3.txt,2.9289316749999674
train_batch_4.txt,2.8030161020000093
train_batch_5.txt,2.780087973000022
train_batch_6.txt,2.943556112999988
train_batch_7.txt,2.894591289000013
train_batch_8.txt,2.9620098261251693
train_batch_9.txt,2.804813510999977
train_batch_10.txt,2.8744878789999806
train_batch_11.txt,2.834434941999988
train_batch_12.txt,2.8049013089999963
train_batch_13.txt,3.009536376999995
train_batch_14.txt,2.7840017120000047
train_batch_15.txt,2.9158716820000263
train_batch_16.txt,2.794524552999966
train_batch_17.txt,2.836017149000004
train_batch_18.txt,2.760593099999988
train_batch_19.txt,2.8243861820000036
train_batch_20.txt,2.8463341430000426
train_batch_21.txt,2.901551768999941
train_batch_22.txt,2.8703441469999875
train_batch_23.txt,2.7743405269999757
train_batch_24.txt,2.8996175949999814
train_batch_25.txt,2.879552849999991
train_batch_26.txt,2.844934555999993
train_batch_27.txt,2.8826306929999572
train_batch_28.txt,2.828783202999968
train_batch_29.txt,2.808332261999988
train_batch_30.txt,2.9223996639999585
train_batch_31.txt,2.8555762119999777
train_batch_32.txt,2.754031206000029
train_batch_33.txt,2.954049486000068
train_batch_34.txt,2.7967300130000257
train_batch_35.txt,2.858367590999974
train_batch_36.txt,2.9286034689999507
train_batch_37.txt,2.8039901340000024
train_batch_38.txt,2.839442464000035
train_batch_39.txt,2.7963573690000043
train_batch_40.txt,2.848140452000008
train_batch_41.txt,2.812324126000009
train_batch_42.txt,2.836221524999981
train_batch_43.txt,2.8577381900000125
train_batch_44.txt,2.850150509000023
