Text,LZMA Avg Length
train_batch_1.txt,2.165266106442577
train_batch_2.txt,2.183351872450871
train_batch_3.txt,2.1523048472201016
train_batch_4.txt,2.172729107051141
train_batch_5.txt,2.1801181752162146
train_batch_6.txt,2.146311360448808
train_batch_7.txt,2.227485152136456
train_batch_8.txt,2.1351817042606513
train_batch_9.txt,2.197321260139596
train_batch_10.txt,2.180367829235754
train_batch_11.txt,2.172109752992106
train_batch_12.txt,2.1899325386720343
train_batch_13.txt,2.1472246189243602
train_batch_14.txt,2.156813417190776
train_batch_15.txt,2.163144869598325
train_batch_16.txt,2.1731351981351983
train_batch_17.txt,2.169546719031255
train_batch_18.txt,2.196233660130719
train_batch_19.txt,2.177381394772699
train_batch_20.txt,2.1827513227513227
train_batch_21.txt,2.18133971291866
train_batch_22.txt,2.158410732714138
train_batch_23.txt,2.179086779086779
train_batch_24.txt,2.1975856029625738
train_batch_25.txt,2.1748805116410304
train_batch_26.txt,2.129822595704949
train_batch_27.txt,2.1906062325625384
train_batch_28.txt,2.1654907771929053
train_batch_29.txt,2.185396667770054
train_batch_30.txt,2.188027899260631
train_batch_31.txt,2.1849206349206347
train_batch_32.txt,2.1331782945736433
train_batch_33.txt,2.149753730262205
train_batch_34.txt,2.194334584897789
train_batch_35.txt,2.1357454768879673
train_batch_36.txt,2.1744013020227855
train_batch_37.txt,2.1720614861619185
train_batch_38.txt,2.172549019607843
train_batch_39.txt,2.186731109682803
train_batch_40.txt,2.1491833030852994
train_batch_41.txt,2.141633846521065
train_batch_42.txt,2.212238253792083
train_batch_43.txt,2.1676182605864827
train_batch_44.txt,2.1679491847716146
