Text,LZ77 Entropy
train_batch_1.txt,4.509466666666667
train_batch_2.txt,4.485399999999999
train_batch_3.txt,4.6202
train_batch_4.txt,4.455933333333333
train_batch_5.txt,4.438866666666667
train_batch_6.txt,4.532
train_batch_7.txt,4.575733333333335
train_batch_8.txt,4.555733333333333
train_batch_9.txt,4.565666666666667
train_batch_10.txt,4.5043999999999995
train_batch_11.txt,4.5924000000000005
train_batch_12.txt,4.481266666666666
train_batch_13.txt,4.428
train_batch_14.txt,4.569533333333333
train_batch_15.txt,4.604066666666666
train_batch_16.txt,4.402466666666666
train_batch_17.txt,4.602266666666666
train_batch_18.txt,4.572333333333334
train_batch_19.txt,4.528666666666667
train_batch_20.txt,4.630400000000001
train_batch_21.txt,4.433933333333333
train_batch_22.txt,4.591600000000001
train_batch_23.txt,4.627933333333333
train_batch_24.txt,4.6033333333333335
train_batch_25.txt,4.4948
train_batch_26.txt,4.640266666666666
train_batch_27.txt,4.572133333333333
train_batch_28.txt,4.589799999999999
train_batch_29.txt,4.415266666666667
train_batch_30.txt,4.585866666666667
train_batch_31.txt,4.6302666666666665
train_batch_32.txt,4.512466666666667
train_batch_33.txt,5.66
train_batch_34.txt,4.513199999999999
train_batch_35.txt,4.557133333333333
train_batch_36.txt,4.527533333333333
train_batch_37.txt,4.593866666666667
train_batch_38.txt,4.550866666666667
train_batch_39.txt,4.580866666666666
train_batch_40.txt,4.487133333333333
train_batch_41.txt,4.5074
train_batch_42.txt,4.5802
train_batch_43.txt,4.541399999999999
train_batch_44.txt,4.618266666666666
