Text,LZ77 Avg Length
train_batch_1.txt,2.035185185185185
train_batch_2.txt,2.03020993343574
train_batch_3.txt,2.0699588477366255
train_batch_4.txt,2.033894976630926
train_batch_5.txt,2.067258261933904
train_batch_6.txt,2.0468462620361354
train_batch_7.txt,2.0927766948234785
train_batch_8.txt,2.0362311747970665
train_batch_9.txt,2.06590921185674
train_batch_10.txt,2.0541797044933983
train_batch_11.txt,2.0513478818998716
train_batch_12.txt,2.054844398930421
train_batch_13.txt,2.042094017094017
train_batch_14.txt,2.089583333333333
train_batch_15.txt,2.032547699214366
train_batch_16.txt,2.054017599672564
train_batch_17.txt,2.061886105286392
train_batch_18.txt,2.042002189729462
train_batch_19.txt,2.039969834087481
train_batch_20.txt,2.02211975407645
train_batch_21.txt,2.0289096573208725
train_batch_22.txt,2.0513105189829326
train_batch_23.txt,2.039541759053954
train_batch_24.txt,2.0416063093513603
train_batch_25.txt,2.0791462573010824
train_batch_26.txt,2.0628654970760234
train_batch_27.txt,2.0379432624113476
train_batch_28.txt,2.041260162601626
train_batch_29.txt,2.0272222222222225
train_batch_30.txt,2.0327568134171905
train_batch_31.txt,2.0694068051791628
train_batch_32.txt,2.1325026409296073
train_batch_33.txt,0.0
train_batch_34.txt,2.047448320413437
train_batch_35.txt,2.073227453204765
train_batch_36.txt,2.0297619047619047
train_batch_37.txt,2.095019746335536
train_batch_38.txt,2.024867724867725
train_batch_39.txt,2.0675990675990676
train_batch_40.txt,2.057754010695187
train_batch_41.txt,2.0463177173703486
train_batch_42.txt,2.0492721164613656
train_batch_43.txt,2.0405216140510256
train_batch_44.txt,2.0243118344384166
