Text,LZMA Avg Length
train_batch_1.txt,2.3002044252044254
train_batch_2.txt,2.1666479571099546
train_batch_3.txt,2.161992734361155
train_batch_4.txt,2.1440898345153667
train_batch_5.txt,2.175099700897308
train_batch_6.txt,2.178237060590002
train_batch_7.txt,2.191918538019267
train_batch_8.txt,2.1677115987460813
train_batch_9.txt,2.1992296918767504
train_batch_10.txt,2.1882576533515423
train_batch_11.txt,2.1715686274509802
train_batch_12.txt,2.1594820384294064
train_batch_13.txt,2.169546719031255
train_batch_14.txt,2.179501182330037
train_batch_15.txt,2.124521890311364
train_batch_16.txt,2.1118276359655668
train_batch_17.txt,2.1882220291294274
train_batch_18.txt,2.197093023255814
train_batch_19.txt,2.154846141830678
train_batch_20.txt,2.173469387755102
train_batch_21.txt,2.172613331529947
train_batch_22.txt,2.1835164835164833
train_batch_23.txt,2.139039039039039
train_batch_24.txt,2.1855483605714876
train_batch_25.txt,2.147805642633229
train_batch_26.txt,2.2486381673881675
train_batch_27.txt,2.1456980862921458
train_batch_28.txt,2.220965309200603
train_batch_29.txt,2.1656346749226008
train_batch_30.txt,2.1438238137267263
train_batch_31.txt,2.1697981563210673
train_batch_32.txt,2.177299013198551
train_batch_33.txt,0.0
train_batch_34.txt,2.1642025089605736
train_batch_35.txt,2.144435758203216
train_batch_36.txt,2.2512146997163645
train_batch_37.txt,2.181557067271353
train_batch_38.txt,2.1459040959040965
train_batch_39.txt,2.2621460936067677
train_batch_40.txt,2.1965827798212882
train_batch_41.txt,2.179498746867168
train_batch_42.txt,2.184363337811614
train_batch_43.txt,2.1926476301476296
train_batch_44.txt,2.198808446455505
