,nordeste,norte,sul,sudeste
nordeste,0.003560831828120984,0.007506846603231902,0.015340228197069669,0.0068285872574560535
norte,0.009716631664886233,0.00502157408157089,0.012090622254635086,0.010491390724499597
sul,0.021905392055283635,0.014399344372004444,0.005001702807838034,0.01483685259254249
sudeste,0.008597337319724119,0.010683698704433642,0.011783731126038255,0.0050675718513216355
