,nordeste,norte,sul,sudeste
nordeste,3.9556112910278514,3.9595573058029623,3.9673906873968003,3.9588790464571866
norte,3.9762756896268585,3.9715806320435427,3.9786496802166074,3.9770504486864717
sul,4.027510904787749,4.02000485710447,4.010607215540304,4.020442365325008
sudeste,3.96287922946757,3.96496559085228,3.9660656232738845,3.9593494639991675
