,Norte,Nordeste,Sul,Sudeste
Norte,0.000000,0.901468,0.888851,0.890435
Nordeste,0.901468,0.000000,0.887385,0.888900
Sul,0.888851,0.887385,0.000000,0.876431
Sudeste,0.890435,0.888900,0.876431,0.000000
