,Norte,Nordeste,Sul,Sudeste
Norte,0.000000,0.850757,0.784147,0.825726
Nordeste,0.850757,0.000000,0.780364,0.807398
Sul,0.784147,0.780364,0.000000,0.768152
Sudeste,0.825726,0.807398,0.768152,0.000000
