,Norte,Nordeste,Sul,Sudeste
Norte,0.000000,0.900000,0.273569,0.717295
Nordeste,0.900000,0.000000,0.256689,0.576632
Sul,0.273569,0.256689,0.000000,0.100000
Sudeste,0.717295,0.576632,0.100000,0.000000
