,Norte,Nordeste,Sul,Sudeste
Norte,0.000000,0.900000,0.254908,0.657580
Nordeste,0.900000,0.000000,0.218266,0.480083
Sul,0.254908,0.218266,0.000000,0.100000
Sudeste,0.657580,0.480083,0.100000,0.000000
