,Norte,Nordeste,Sul,Sudeste
Norte,0.000000,0.750966,0.109983,0.900000
Nordeste,0.750966,0.000000,0.173496,0.809821
Sul,0.109983,0.173496,0.000000,0.100000
Sudeste,0.900000,0.809821,0.100000,0.000000
