,Norte,Nordeste,Sul,Sudeste
Norte,0.000000,0.900000,0.496868,0.547480
Nordeste,0.900000,0.000000,0.450003,0.498427
Sul,0.496868,0.450003,0.000000,0.100000
Sudeste,0.547480,0.498427,0.100000,0.000000
