Text,PPM Entropy
train_batch_1.txt,2.7767064620000013
train_batch_2.txt,2.8718822620000015
train_batch_3.txt,2.9019839039999717
train_batch_4.txt,2.734209807000009
train_batch_5.txt,2.857132256999947
train_batch_6.txt,2.8900445090000013
train_batch_7.txt,2.707956781000017
train_batch_8.txt,2.761711439999982
train_batch_9.txt,2.7928953679999973
train_batch_10.txt,2.794042509000003
train_batch_11.txt,2.8989219389999774
train_batch_12.txt,2.897858699000029
train_batch_13.txt,2.751216513000003
train_batch_14.txt,2.895473537999937
train_batch_15.txt,2.875497430999949
train_batch_16.txt,2.849221480999976
train_batch_17.txt,2.802405449999975
train_batch_18.txt,2.638429222000007
train_batch_19.txt,2.6563477089999994
train_batch_20.txt,2.768455402000001
train_batch_21.txt,2.9145510669999948
train_batch_22.txt,2.7085656409999874
train_batch_23.txt,2.6939885099999885
train_batch_24.txt,2.6515927110000153
train_batch_25.txt,2.833443166155276
train_batch_26.txt,2.7233127950000315
train_batch_27.txt,2.907512437000039
train_batch_28.txt,2.886423825999991
train_batch_29.txt,2.706265626999964
train_batch_30.txt,2.714043943000014
train_batch_31.txt,2.7739930639999804
train_batch_32.txt,2.5849944120000385
train_batch_33.txt,2.609109238000018
train_batch_34.txt,2.58657650600002
train_batch_35.txt,2.771047867000018
train_batch_36.txt,2.8981705819999846
train_batch_37.txt,2.747910283000019
train_batch_38.txt,2.9182835410000023
train_batch_39.txt,2.8503544029999928
train_batch_40.txt,2.844338536999982
train_batch_41.txt,2.776348282000028
train_batch_42.txt,2.799593803999983
train_batch_43.txt,2.6251973599999743
train_batch_44.txt,2.7091990100000087
